Country,Happiness Score,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,SP.DYN.CDRT.IN,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,SH.DYN.NMRT,SH.DYN.MORT,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Turkmenistan,5.822000027,2017,0,0,0,0,0,54.29458842,0,0,0,0,0,37926285714,0,0,21.3,47.3,0,0,0,488100,0,53.57535671,0,0
Uganda,4.080999851,2017,0,0,0,0,0,99.51932474,0,0,0,0,0,25995031850,16.47815234,0,20.2,49,0,42.65911,0,241550,0,43.48203445,9.43999958,0
Ukraine,4.096000195,2017,0,0,0,0,0,46.96103548,0,0,0,33.58713274,0,1.12E+11,13.08697518,0,5.2,8.8,7.20581,12.99453,0,603550,20.04098668,103.5562469,9.510000229,0
United Arab Emirates,6.647999763,2017,0,0,0,0,0,17.70166994,0,0,0,4.09863904,0,3.83E+11,52.76884741,0,4.7,9.1,0,0,0,83600,0.066983606,172.8105269,2.463000059,0
United Kingdom,6.714000225,2017,0,0,0,0,0,56.80967334,0,0,0,0,0,2.62E+12,15.84884067,0,2.6,4.3,0,0,0,243610,0,62.46183081,4.334799767,0
United States,6.993000031,2017,0,0,0,0,0,52.26827453,0,0,0,22.48795464,0,1.94E+13,0,0,3.6,6.6,0,0,0,9831510,11.99973302,0,4.355199814,0
Uruguay,6.453999996,2017,0,0,0,0,0,55.55544555,0,0,0,0,0,56156972158,18.84468097,98.9326,4.6,8.2,0,0,0,176220,0,39.98782439,7.8895998,0
Uzbekistan,5.971000195,2017,0,98.54778,0,0,0,48.04595133,0,0,0,17.84025566,0,49677172714,20.27665306,0,12.1,22.5,10.32977,21.15014,0,447400,14.54863249,68.51854233,0,0
Vietnam,5.073999882,2017,0,0,0,0,0,43.28819938,0,0,0,0,0,2.24E+11,25.45799769,0,10.6,20.9,0,19.64643,0,331230,0,200.3845804,1.886199951,0
Zambia,4.513999939,2017,0,0,0,0,0,89.6132569,0,0,0,0,0,25868142073,0,0,22.2,60,0,0,0,752610,0,71.4658798,0,0
Zimbabwe,3.875,2017,0,0,0,0,0,78.65689441,0,0,0,0,0,22040902300,-1.010063005,0,22.4,50.3,0,0,0,390760,0,50.0282958,0,0
