ï»¿Country Name,Year,EG.ELC.ACCS.ZS,SE.PRM.TENR,NY.ADJ.NNTY.KD.ZG,NY.ADJ.NNTY.PC.KD.ZG,NY.ADJ.AEDU.GN.ZS,NY.ADJ.ICTR.GN.ZS,SP.POP.DPND,SP.DYN.CBRT.IN,per_si_allsi.cov_q1_tot,per_si_allsi.cov_q5_tot,per_allsp.cov_pop_tot,per_sa_allsa.cov_pop_tot,SP.DYN.CDRT.IN,SE.XPD.PRIM.ZS,SE.XPD.SECO.ZS,GC.XPN.TOTL.GD.ZS,SH.XPD.EHEX.CH.ZS,NY.GDP.MKTP.CD,NY.GDP.MKTP.KD.ZG,NY.GDS.TOTL.ZS,SE.ADT.1524.LT.ZS,NV.IND.MANF.KD.ZG,SH.DYN.NMRT,SH.DYN.MORT,SP.POP.TOTL,SE.SEC.ENRL.TC.ZS,SE.PRM.ENRL.TC.ZS,EG.FEC.RNEW.ZS,AG.SRF.TOTL.K2,GC.TAX.TOTL.GD.ZS,NE.TRD.GNFS.ZS,SL.UEM.TOTL.NE.ZS,FP.WPI.TOTL
Djibouti,2016,51.7826919555664,52.42191,..,..,7.43194220799754,..,55.5934403059253,23.002,..,..,..,..,8.35,..,..,..,..,1764268468.93991,8.72226006105292,11.6193888722773,..,11.3473794167409,33.1,63.7,942333,23.75349,31.09517,..,23200,..,84.6491516767199,..,..
Dominica,2016,100,98.20205,..,..,5,..,..,..,..,..,..,..,..,..,..,..,..,575468222.222222,2.52204573406682,..,..,-20.9325141426133,26.4,32.9,73543,..,13.07679,..,750,..,103.400606089392,..,..
Dominican Republic,2016,100,87.76939,6.45669210328525,5.25307505801138,2.51925224689344,22.61389928,57.3458489447249,20.17,..,..,..,..,6.102,..,..,16.8944544244885,..,72342967648.3354,6.61220822292972,17.9470293007111,98.83941,4.23848120904226,20.7,30.8,10648791,..,18.52102,..,48670,13.5068443726483,53.8373648241106,..,..
Ecuador,2016,99.9368133544922,98.1926299999999,-3.58034832473886,-4.9967727276303,3.93,27.13474911,55.2968223188994,20.175,4.57627219936046,20.9324514461252,72.5754808894,67.0504011700022,5.121,..,..,..,..,99937696000,-1.22638398463877,25.4672771323445,99.0571099999999,-0.880360444797816,7.7,14.8,16385068,22.34845,25.10571,..,256370,..,38.5213403358829,4.59700012207031,..
"Egypt, Arab Rep.",2016,100,98.63899,4.56610704296649,2.47835239411151,4.4111256,9.459263571,62.7638651414155,26.494,..,..,..,..,5.909,..,..,..,..,332927833278.038,4.34664345555436,5.48460913855466,..,0.756330209554662,12.1,22.9,95688681,14.79149,23.07766,..,1001450,..,30.2465490514505,12.4067001342773,..
El Salvador,2016,98.618896484375,85.5346,1.29848137263463,0.783680529764098,3.46968374814644,12.22090981,55.9675760052606,18.538,..,..,..,..,6.725,47.18061,35.26749,23.4788824866029,..,23912227500,2.58057746976483,-1.12341060656102,98.00859,1.30633539554906,7.3,15,6344722,29.31611,28.26087,..,21040,17.5574123971094,71.9600045625193,4.41830015182495,108.445562001651
Equatorial Guinea,2016,67.889289855957,..,-12.4238768458738,-15.7291407887046,1,..,67.2758396384676,34.114,..,..,..,..,10.186,..,..,..,..,11260900825.8233,-8.53391058524575,26.6742229239167,..,5.06589871673815,31.4,92.8,1221490,..,..,..,28050,..,92.3727570291162,..,..
Eritrea,2016,46.6804618835449,..,..,..,1.72,..,..,32.2,..,..,..,..,6.854,..,..,..,..,..,..,..,..,..,18.2,44.5,..,..,..,..,117600,..,..,..,..
Estonia,2016,100,93.68565,2.97349386744645,2.94352035484091,5.10963307305955,26.65831779,54.6705379655697,10.7,..,..,..,..,11.7,..,..,37.2347741593805,..,23337907618.5174,2.06326278488234,26.5183678431392,..,-0.198606774454575,1.3,2.9,1315790,8.78266,11.26704,..,45340,22.4303504280013,154.102849661032,6.76170015335083,..
Eswatini,2016,65.7902069091797,75.85466,-2.34523179026185,-4.09656371233154,6.7167432227178,21.4253559,68.160300287592,28.85,..,..,..,..,9.585,..,..,..,..,3817430000,3.22247241618905,1.60425447587357,..,1.141258137127,17.8,56.3,1343098,15.54522,27.27385,..,17360,..,100.540531864654,22.7176990509033,..
Ethiopia,2016,42.9,..,8.32568623100238,5.64919121954502,2.88,28.30208604,80.5242358915546,31.779,..,..,..,..,6.825,..,..,..,..,73000980433.9486,7.56176669205257,22.3759908180035,..,18.3902012789666,29.8,61.2,102403196,..,..,..,1104300,..,35.5063366286527,..,..
